ins,shares,plate
1070,2520348837,consumer_discretionary
1066,4507853403,health_care
371,10043307086,utilities
753,4955252918,consumer_discretionary
1099,1341594827,health_care
2039,3078553615,industrials
2357,6209068010,industrials
763,755377996,information_technology
3900,2539021852,real_estate&construction
1797,1053726169,consumer_discretionary
325,248822927,consumer_discretionary
546,2506849315,consumer_staples
1910,1384433962,consumer_discretionary
2162,298647778,health_care
1800,4417968750,real_estate&construction
6098,3342222222,real_estate&construction
631,3229885057,industrials
489,2491130820,industrials
9898,243263964,consumer_discretionary
3931,761395027,industrials
6099,1274044032,financials
9678,41608325,information_technology
13,871825396,health_care
1276,258186101,health_care
1199,3872566371,industrials
189,1732270916,materials
1952,353480753,health_care
551,1603915662,consumer_discretionary
2617,301630049,health_care
1164,7599277978,materials
17,2515587529,real_estate&construction
2276,479907621,health_care
817,13500000000,real_estate&construction
152,2443384982,industrials
880,7100694444,consumer_discretionary
917,265580182,consumer_discretionary
123,4023809523,real_estate&construction
2858,6778156996,financials
2145,206243496,health_care
2232,2851585014,consumer_discretionary
10,1361072902,real_estate&construction
3323,3715630885,real_estate&construction
1359,13562500000,financials
586,1791705069,industrials
2432,377065111,information_technology
6808,9536945812,consumer_staples
697,7913934426,financials
6110,6199356913,consumer_discretionary
2498,472785749,information_technology
6993,5861538461,consumer_staples
1918,11463855421,real_estate&construction
1999,3876543209,consumer_discretionary
3898,488947368,industrials
1114,5043715846,consumer_discretionary
2007,27984615384,real_estate&construction
6682,320176991,information_technology
1368,2781591263,consumer_discretionary
1055,4643229166,consumer_discretionary
1030,7064516129,real_estate&construction
1196,1441860465,industrials
2669,3282196969,real_estate&construction
1478,1189524465,industrials
6066,1260837619,financials
1316,2508823529,consumer_discretionary
2128,3100934579,real_estate&construction
9690,823499999,consumer_discretionary
667,2208894878,consumer_discretionary
390,4206185567,real_estate&construction
14,1026565464,real_estate&construction
1772,443499725,materials
2016,5919413919,financials
590,586861313,consumer_discretionary
1686,2359281437,information_technology
354,2730902777,information_technology
363,1086745315,conglomerates
670,5175496688,consumer_discretionary
303,252998379,information_technology
3677,1438888888,industrials
460,9179640718,health_care
2869,3150515463,real_estate&construction
2050,476279650,industrials
2157,1803550295,health_care
3618,2512479201,financials
165,1684151785,financials
991,6109756097,utilities
2510,1664071190,industrials
2233,5459854014,real_estate&construction
336,3228260869,consumer_staples
2196,540786598,health_care
2186,3887139107,health_care
576,2022284122,industrials
1579,1036179450,consumer_staples
3899,2028368794,energy
856,1429429429,information_technology
1083,3634271099,utilities
2356,1405622489,financials
6963,3477272727,financials
2155,1245248868,industrials
639,5088888888,energy
636,1806622516,industrials
3396,1271535580,information_technology
6168,273535353,consumer_discretionary
3738,2495361781,information_technology
467,25846153846,energy
2419,157554379,consumer_staples
999,1175746924,consumer_discretionary
2556,256099903,information_technology
9858,3891495601,consumer_staples
754,3790229885,real_estate&construction
2314,4291803278,materials
1313,6978494623,real_estate&construction
2555,1477168949,consumer_staples
2883,1810734463,energy
1361,2066343042,consumer_discretionary
1836,838709677,consumer_discretionary
200,2273722627,consumer_discretionary
6049,346819196,real_estate&construction
2343,5220338983,industrials
3339,4278745644,industrials
2666,1890092879,health_care
2202,2205454545,real_estate&construction
6699,170704225,health_care
2038,783006535,information_technology
3877,6196891191,industrials
1963,1578249336,financials
1783,1382803297,real_estate&construction
2533,637949836,information_technology
2629,276147657,health_care
666,873962264,industrials
2473,1546184738,consumer_discretionary
990,14275000000,materials
1186,2074545454,real_estate&construction
1405,130844342,consumer_discretionary
1811,4286792452,utilities
506,2795061728,consumer_staples
177,1221861471,industrials
3868,8451127819,utilities
1513,299786438,health_care
9993,4043321299,real_estate&construction
2607,918451400,health_care
2285,511039558,consumer_discretionary
9956,1175159235,industrials
1138,1295081967,industrials
3996,9260504201,industrials
552,2390829694,information_technology
570,5032258064,health_care
41,747433264,real_estate&construction
6069,1008364312,financials
440,319387153,financials
1907,4280000000,materials
9997,1207909604,health_care
934,2484633569,energy
921,459210526,consumer_discretionary
2386,1425648021,energy
1117,7909090909,consumer_staples
297,7020270270,materials
6655,734430923,real_estate&construction
6683,896762904,consumer_staples
1157,1551671732,industrials
975,1038735983,energy
3288,291117478,consumer_staples
9699,741959064,industrials
3633,2747967479,utilities
2192,734204793,health_care
2727,2921739130,industrials
855,1625806451,utilities
3306,518518518,consumer_discretionary
696,932344763,information_technology
1277,8423728813,energy
6666,10802197802,real_estate&construction
1675,937858508,information_technology
9658,650200267,consumer_discretionary
598,2014583333,industrials
308,5534482758,consumer_discretionary
2238,2811209439,consumer_discretionary
819,1125443786,industrials
1896,1161369193,consumer_discretionary
345,1048726467,consumer_staples
1112,645360824,health_care
1883,3700404858,telecommunication_services
2005,2932475884,health_care
2586,937113402,information_technology
1921,1505862646,energy
1302,4628865979,health_care
6078,618411806,health_care
81,3556910569,real_estate&construction
2517,2653495440,consumer_staples
1610,4581521739,consumer_staples
2013,3613733905,information_technology
317,591549295,industrials
2609,1317610062,health_care
6955,621722846,health_care
6603,266364225,consumer_staples
2506,77272727,health_care
956,1837471783,utilities
1773,2106770833,consumer_discretionary
2273,235731272,health_care
604,8887640449,real_estate&construction
9890,528820375,information_technology
839,2800000000,consumer_discretionary
1071,1715859030,utilities
751,1890510948,consumer_discretionary
2291,346672661,health_care
3613,836065573,health_care
2172,575620767,health_care
1333,241037131,industrials
1310,1477317554,telecommunication_services
2431,316949152,information_technology
1951,2742647058,health_care
2589,59362549,consumer_staples
1475,1042857142,consumer_staples
2877,826086956,health_care
1880,116301703,consumer_discretionary
1052,1672131147,industrials
2587,877323420,health_care
1448,2318032786,consumer_discretionary
173,3151785714,real_estate&construction
826,2724806201,materials
2562,457649376,consumer_discretionary
3990,1433609958,real_estate&construction
909,1921348314,information_technology
9979,2008875739,real_estate&construction
6681,1265420560,health_care
1691,3474226804,consumer_discretionary
3969,1967647058,industrials
1798,2500000000,utilities
2158,1063517915,health_care
2469,2234482758,consumer_discretionary
1789,1121739130,health_care
119,3820359281,real_estate&construction
9885,680555555,health_care
327,1058333333,information_technology
272,8026315789,real_estate&construction
6086,1338461538,health_care
6616,1238095238,materials
777,528725314,information_technology
2255,8111111111,consumer_discretionary
2570,40657802,industrials
3709,703422053,consumer_discretionary
1709,1684210526,financials
2410,375173370,health_care
3380,5684210526,real_estate&construction
6865,441201000,industrials
694,1878571428,consumer_discretionary
2169,4000000000,industrials
9860,724475524,health_care
1969,1200000000,consumer_discretionary
861,1671052631,information_technology
1958,2517412935,consumer_discretionary
1516,3054878048,real_estate&construction
2522,293001186,health_care
1515,1295081967,health_care
2582,79807692,industrials
1855,823943661,real_estate&construction
2443,831265508,consumer_discretionary
1341,9220338983,industrials
2429,786407766,consumer_staples
2550,451923076,consumer_discretionary
