ins,commission,deposit,ticksize,tradeunit,trademonth,plate,include_option,option_ticksize
bc,0_0.0001_0_0_0_0,0.1,10,5,1_2_3_4_5_6_7_8_9_10_11_12,nonferrous_metals,0,0
ec,0_1e-05_0_0_0_0,0.12,0.1,50,2_4_6_8_10_12,route,0,0
lu,0_0.0001_0_0.0001_0_0.0001,0.1,1,10,1_2_3_4_5_6_7_8_9_10_11_12,oil,0,0
nr,0_0.0002_0_0_0_0,0.1,5,10,1_2_3_4_5_6_7_8_9_10_11_12,chemical_industry,0,0
sc,20_0_0_0_0_0,0.1,0.1,1000,1_2_3_4_5_6_7_8_9_10_11_12,oil,1,0.05
