ins,shares,plate
CELH,257946134,consumer_staples
NBIX,99181509,health_care
VLYPO,559720999,finance
BPYPN,1039580449,finance
TEM,173727558,technology
JBHT,96799280,industrials
MEDP,28093025,health_care
FITBO,661887238,finance
COOP,63993269,finance
COO,198808921,health_care
SFM,97726169,consumer_staples
GLPI,283008253,real_estate
LECO,55186251,industrials
REG,181553313,real_estate
MANH,60468593,technology
LAMR,101218688,real_estate
WYNN,103976531,consumer_discretionary
NDSN,56186302,industrials
RADX,2172960756,
SAIL,556588850,technology
ASND,60689486,health_care
ENTG,151600000,industrials
POOL,37318008,consumer_discretionary
DUOL,45821907,technology
RGLD,65830834,industrials
VTRS,1165872127,health_care
PAA,703304451,energy
HST,687542877,real_estate
CART,263438274,real_estate
DGNX,183950103,technology
JKHY,72871384,technology
HTHT,306939072,consumer_discretionary
AKAM,143385528,real_estate
SWKS,148427568,technology
MMYT,111262423,consumer_discretionary
TXRH,66450612,consumer_discretionary
HAS,140232539,consumer_discretionary
DRS,266123634,industrials
MORN,42177737,finance
KTOS,168794500,industrials
BMRN,192014600,health_care
AVAV,45692904,industrials
SEIC,123625060,finance
VNOM,288540955,energy
TTAN,90670852,technology
AGNC,1041732564,real_estate
COKE,86885905,consumer_staples
AUR,1845332276,technology
PPC,237547447,consumer_staples
LITE,69900000,telecommunications
BZ,434735703,technology
BBIO,191168503,health_care
NXT,147963973,industrials
SNDK,145805547,technology
APPF,35853028,technology
PSKY,674224884,industrials
EXAS,189319110,health_care
EXEL,269202520,health_care
MDGL,22289013,health_care
CPB,298129972,consumer_staples
ENSG,57700157,health_care
XP,537423420,finance
ALGN,72486367,health_care
ONBPP,391855000,finance
FRHC,61221686,finance
ONBPO,391855000,finance
PEGA,171080665,technology
CAI,281224123,health_care
IONS,159391229,health_care
MTSI,74471280,technology
DOX,112890563,technology
MNDY,50773336,technology
MRNA,389079756,health_care
PCTY,55161626,technology
UMBF,75928254,finance
TPGXL,364825774,
BILI,416768278,technology
FSV,45546126,finance
TTEK,262773412,consumer_discretionary
FYBR,250314000,telecommunications
MTCH,240622146,technology
WTFC,66952287,finance
SRAD,299459926,technology
SFD,393112710,consumer_staples
DSGX,85935515,technology
LLYVK,91883435,industrials
VRNA,86192120,health_care
LINE,228767626,real_estate
LSCC,136895573,technology
GLXY,376286575,finance
CHYM,371711027,finance
NICE,63249843,technology
ONB,391855000,finance
LLYVA,91883435,industrials
HALO,116966000,health_care
ROIV,682881742,health_care
STRL,30419830,industrials
LBRDK,143489190,telecommunications
LBRDA,143489190,telecommunications
OTEX,254316689,technology
AAL,659828821,consumer_discretionary
WIX,55668174,technology
WING,27923752,consumer_discretionary
QRVO,92654264,technology
BPOP,67582844,finance
CIGI,50532813,finance
ZION,147623797,finance
TECH,155549587,health_care
LKQ,257293191,consumer_discretionary
FIVE,55145461,consumer_discretionary
SAIA,26636046,industrials
HLNE,55678871,finance
SIRI,336740460,consumer_discretionary
HSIC,121268398,health_care
DBX,269861085,technology
ACGLO,373220294,finance
CVLT,44459659,technology
OLLI,61310152,consumer_discretionary
CBSH,133438915,finance
MASI,54324811,health_care
COLB,299171254,finance
TIGO,172096305,telecommunications
HQY,86156333,real_estate
NVMI,29278990,technology
LIF,77548651,
APA,357786460,energy
RMBS,107593820,technology
JAZZ,60658809,health_care
IDCC,25802360,miscellaneous
RVMD,186933189,health_care
PNFP,77563948,finance
VFS,2338812676,industrials
LNW,83946594,technology
CORT,105371729,health_care
GH,124705856,health_care
CGNX,167899009,industrials
MKSI,67159002,industrials
STEP,118057097,finance
TSEM,111756623,technology
LYFT,406441505,real_estate
MIDD,50682385,industrials
BOKF,63611097,finance
IESC,19854462,industrials
EXLS,161513146,real_estate
IREN,271980494,technology
WAY,174238972,technology
GTLB,147900000,technology
CHDN,70124315,consumer_discretionary
MKTX,37363772,finance
CFLT,344744121,technology
GRFS,687554908,health_care
ROAD,56090108,industrials
GDS,206377613,technology
OLED,47534172,technology
ACGLN,373220295,finance
RGEN,56257618,health_care
ABVX,75151333,health_care
CGABL,361704907,finance
RGC,494484951,health_care
RYTM,66420090,health_care
AAON,81530676,industrials
NNNN,143891200,health_care
UPST,96217741,finance
FCFS,44364566,consumer_discretionary
URBN,89642150,consumer_discretionary
LFUS,24781557,energy
RRR,105491621,consumer_discretionary
AXSM,49901486,health_care
VRNS,112047108,technology
CCCS,649943554,technology
SITM,26003971,technology
LEGN,183649158,health_care
SLM,208481379,finance
SANM,53284450,technology
NXST,30315769,industrials
GNTX,219489357,consumer_discretionary
SOUN,407686297,technology
CYTK,119657155,health_care
RNA,128653337,health_care
BULL,461451241,finance
GLBE,169131268,technology
AMKR,247143055,technology
CRUS,51332178,technology
VLY,559720998,finance
FLY,140551480,industrials
IRTC,32127762,health_care
UFPI,58566148,basic_materials
MAT,322200000,consumer_discretionary
OZK,113136132,finance
CWST,63490462,utilities
CHRD,57258100,energy
FROG,116741765,technology
PI,29089692,technology
AEIS,37720035,technology
LOPE,28087210,real_estate
ETSY,99108568,real_estate
CACC,11237660,finance
NUVL,72104837,health_care
ACT,147505609,finance
LCID,307249490,industrials
MARA,370457880,technology
ALGM,185040489,technology
GENVR,615869113,technology
CAR,35193503,consumer_discretionary
RDNT,76916061,health_care
ATAT,138185951,consumer_discretionary
ITRI,45717933,industrials
CZR,207991539,consumer_discretionary
MMSI,59219117,health_care
UBSI,141647225,finance
CALM,48497477,consumer_staples
HWC,84754977,finance
ACIW,103192071,technology
BCPC,32455192,industrials
SMTC,86773988,technology
FFIN,143103862,finance
OMAB,48271178,consumer_discretionary
TGTX,158665613,health_care
MRUS,75634357,health_care
DORM,30534243,consumer_discretionary
ENPH,130750771,technology
MZTI,27534000,consumer_staples
SNEX,52164564,finance
PONY,355292553,technology
DOOO,73041083,consumer_discretionary
RIOT,369623179,finance
GGAL,160625372,finance
CRSP,90950422,health_care
RGTI,324165170,technology
OS,242844637,technology
QLYS,36095879,technology
TTMI,103313274,technology
SIGI,60850304,finance
IEP,573419881,consumer_discretionary
REYN,210325069,consumer_discretionary
GSAT,126822167,consumer_discretionary
OPCH,162295059,health_care
VCTR,66783377,finance
CROX,54617357,consumer_discretionary
FTDR,72849403,consumer_discretionary
BGC,474315045,finance
DJT,277067396,technology
SAIC,46022001,technology
ALKS,165077979,health_care
STNE,271542091,technology
BRKR,151719365,industrials
CRVL,51312747,finance
SBRA,239792173,real_estate
RUSHB,77859566,consumer_discretionary
LSTR,34653536,industrials
PTCT,79438093,health_care
RUSHA,77859565,consumer_discretionary
SHC,284046605,health_care
BTSG,177148693,health_care
BANF,33309310,finance
PECO,125600000,real_estate
DHCNL,241414357,real_estate
AVT,83462742,technology
OPEN,735954185,finance
IBOC,62156397,finance
WFRD,71835002,consumer_discretionary
SLAB,32815310,technology
SKYW,40378254,consumer_discretionary
FELE,44484631,consumer_discretionary
SSRM,202780233,industrials
REGCP,181553313,real_estate
CVCO,7917647,consumer_discretionary
GLNG,104622476,consumer_discretionary
ACAD,168712220,health_care
DHCNI,241414356,real_estate
CORZ,305408441,finance
CORZZ,305408442,finance
OXLCN,173600000,finance
OXLCP,173600000,finance
MENS,76027667,health_care
WSC,182075083,industrials
OXLCZ,173600000,finance
PCVX,129823355,health_care
KRYS,28942980,health_care
SPSC,37908762,technology
LBTYB,340732722,telecommunications
OXLCL,173600000,finance
NOVT,35973631,miscellaneous
VERX,159474211,technology
