ins,ticksize,tradeunit
FOXY_USDT,0.000001,100
FTN_USDT,0.001,1
FTT_USDT,0.0001,0.01
FUEL_USDT,0.000001,100
FUN_USDT,0.000001,100
FWOG_USDT,0.00001,10
F_USDT,0.00001,10
GALA_USDT,0.000001,10
GAS_USDT,0.001,1
GHIBLI_USDT,0.00001,100
GHST_USDT,0.0001,1
GIGA_USDT,0.000001,100
GLMR_USDT,0.00001,0.1
GLM_USDT,0.0001,10
GMT_USDT,0.00001,1
GMX_USDT,0.001,0.01
GM_USDT,0.00001,100
GNO_USDT,0.1,0.01
GOAT_USDT,0.00001,10
GORK_USDT,0.00001,100
GPS_USDT,0.00001,100
GRASS_USDT,0.0001,10
GRIFFAIN_USDT,0.00001,10
GROK_USDT,0.000001,100
GRT_USDT,0.00001,10
GT_USDT,0.001,0.1
GUN_USDT,0.00001,10
G_USDT,0.00001,100
HAEDAL_USDT,0.00001,10
HAPPY_USDT,0.0000001,100
HBAR_USDT,0.00001,10
HEI_USDT,0.0001,1
HFT_USDT,0.00001,1
HIFI_USDT,0.0001,1
HIGH_USDT,0.0001,1
HIPPO_USDT,0.000001,100
HIVE_USDT,0.0001,1
HMSTR_USDT,0.000001,100
HNT_USDT,0.001,0.1
HOME_USDT,0.00001,100
HOOK_USDT,0.00001,1
HOT_USDT,0.0000001,1000
HOUSE_USDT,0.00001,10
HSK_USDT,0.0001,10
HUMA_USDT,0.00001,100
HYPER_USDT,0.0001,10
HYPE_USDT,0.001,0.1
H_USDT,0.00001,10
ICE_USDT,0.000001,10
ICP_USDT,0.001,0.001
ICX_USDT,0.00001,1
IDEX_USDT,0.00001,10
IDOL_USDT,0.000001,100
ID_USDT,0.0001,1
ILV_USDT,0.001,0.01
IMT_USDT,0.000001,100
IMX_USDT,0.0001,1
INIT_USDT,0.0001,10
INJ_USDT,0.001,0.1
IOST_USDT,0.000001,10
IOTA_USDT,0.0001,1
IOTX_USDT,0.00001,10
IO_USDT,0.0001,1
IP_USDT,0.001,1
JAILSTOOL_USDT,0.000001,100
JASMY_USDT,0.000001,1
JELLYJELLY_USDT,0.000001,10
JOE_USDT,0.0001,1
JST_USDT,0.00001,100
JTO_USDT,0.001,1
JUP_USDT,0.0001,1
J_USDT,0.0001,1
KAIA_USDT,0.00001,10
KAITO_USDT,0.0001,1
KAS_USDT,0.00001,100
KAVA_USDT,0.0001,1
KDA_USDT,0.0001,1
KEKIUS_USDT,0.000001,10
KERNEL_USDT,0.0001,10
KEY_USDT,0.0000001,100
KILO_USDT,0.00001,10
KMNO_USDT,0.00001,10
KNC_USDT,0.0001,1
KOMA_USDT,0.00001,10
KSM_USDT,0.001,0.1
L3_USDT,0.00001,10
LADYS_USDT,0.00000000001,10000000
LAUNCHCOIN_USDT,0.00001,10
LAYER_USDT,0.0001,1
LA_USDT,0.0001,10
LDO_USDT,0.0001,1
LEVER_USDT,0.0000001,1000
LINK_USDT,0.001,1
LISTA_USDT,0.0001,10
LOKA_USDT,0.00001,1
LOOKS_USDT,0.000001,1
LOOM_USDT,0.00001,10
LOT_USDT,0.00001,100
LPT_USDT,0.001,0.1
LQTY_USDT,0.0001,1
LRC_USDT,0.00001,1
LSK_USDT,0.0001,1
LTC_USDT,0.01,0.1
LUCE_USDT,0.000001,100
LUMIA_USDT,0.0001,1
LUNA_USDT,0.0001,1
LUNC_USDT,0.00000001,10000
MAGIC_USDT,0.00001,1
MAJOR_USDT,0.00001,1
MANA_USDT,0.0001,0.1
MANTA_USDT,0.0001,1
MASA_USDT,0.00001,10
MASK_USDT,0.001,0.1
MAT_USDT,0.001,1
MAVIA_USDT,0.0001,1
MAV_USDT,0.00001,10
MBABYDOGE_USDT,0.0000001,100
MBL_USDT,0.000001,100
MBOX_USDT,0.00001,0.1
MDT_USDT,0.00001,10
